encoder_key,resolution,seed,method,temperature,nll_uncalibrated,nll,ece_15_uncalibrated,ece_15,confidence_threshold_90pct_validation_coverage,selective_coverage,selective_accuracy,aurc
siglip2_b16_384,384,7,EvidenceMem v4 continuous fusion,0.2,0.8265418332033275,0.15968446780538864,0.4762694293262614,0.012942499264682814,0.8713218174984928,0.9057575757575758,0.9842756774841084,0.004374936903694679
siglip2_b16_384,384,7,Tip-Adapter (matched cache),1.0,0.31694684458373446,0.31694684458373446,0.03980656594958942,0.03980656594958942,0.80613269641671,0.906969696969697,0.9515536251252924,0.013513394886340412
siglip2_b16_384,384,17,CLIP zero-shot,0.02,2.348580033338351,0.7524928427365811,0.7839846189837093,0.324947961624787,0.3060153116683117,0.8984848484848484,0.9143338954468803,0.048430636081381775
siglip2_b16_384,384,17,Full kNN,1.0,0.35758902917307667,0.35758902917307667,0.011950978386985587,0.011950978386985587,0.8185022265047955,0.9054545454545454,0.9886211512717537,0.010821963554657778
siglip2_b16_384,384,17,Linear probe,1.0,0.11041394655416507,0.11041394655416507,0.011819357118448323,0.011819357118448323,0.8720905016784811,0.896969696969697,0.9949324324324325,0.0019480554311093043
siglip2_b16_384,384,17,Random memory fused,0.2,1.1280094965730447,0.24317617004343556,0.5824647122431768,0.02478025069730315,0.8223384435686114,0.899090909090909,0.967644084934277,0.009563935349663627
siglip2_b16_384,384,17,Centroid fused,0.15,1.416974793267616,0.3261543507055099,0.6342360834663398,0.030246640536126954,0.7043591668604874,0.9015151515151515,0.9408403361344538,0.017738389590584318
siglip2_b16_384,384,17,KMeans medoids fused,0.2,1.059643939901231,0.19013425252393343,0.5839519208407127,0.023937258910133374,0.9287827765053659,0.9066666666666666,0.9806149732620321,0.005982449936692834
siglip2_b16_384,384,17,Facility selection (no reliability) fused,0.5,0.39253986204435726,0.17552415883440745,0.22182915698287586,0.01193999895208872,0.8097326601026028,0.9084848484848485,0.9803202134756505,0.005403481349761299
siglip2_b16_384,384,17,EvidenceMem v2 selection fused,0.2,1.0423391653341887,0.2640201852710615,0.5688855659902152,0.03989836497598906,0.9752430187942993,0.8921212121212121,0.9769021739130435,0.008955094686629236
siglip2_b16_384,384,17,EvidenceMem v4 global fusion,0.5,0.6673271834443252,0.20638436553372505,0.4036566822775442,0.05406815538625297,0.7276508928675094,0.906969696969697,0.9792849983294354,0.005368560490039479
siglip2_b16_384,384,17,EvidenceMem v4 class-conditional visual,0.2,0.7053865016454843,0.17097996994184145,0.40718635909842266,0.018851270478754584,0.8886380900721689,0.9015151515151515,0.9818487394957983,0.004546719400940459
siglip2_b16_384,384,17,EvidenceMem v4 fixed fusion,0.2,0.7053865016454843,0.17097996994184145,0.40718635909842266,0.018851270478754584,0.8886380900721689,0.9015151515151515,0.9818487394957983,0.004546719400940459
siglip2_b16_384,384,17,EvidenceMem v4 continuous fusion,0.2,0.7823748648155046,0.16854083550657903,0.4499108326821453,0.01946879003555905,0.8814651743380049,0.9012121212121212,0.9818426361802286,0.0045617831257683305
siglip2_b16_384,384,17,Tip-Adapter (matched cache),1.0,0.33155533428493955,0.33155533428493955,0.03982754659125739,0.03982754659125739,0.8188821774246154,0.8960606060606061,0.9523165370307745,0.014839519433552948
